experiment,reference,seeds,paired_dates,mean_rank_ic_difference,ci_lower,ci_upper,two_sided_p_value
gru,kda-mla-fast,1,247,-0.01604963988158641,-0.05106501229179911,0.0289178425125132,0.4737631184407796
hist-gbdt,kda-mla-fast,1,247,0.00372869232589508,-0.023378231497379626,0.046187414624590424,0.8350824587706147
kda-mla-fast,kda-mla-fast,1,247,0.0,0.0,0.0,1.0
kda-only,kda-mla-fast,1,247,0.008872962785003848,-0.016480569649570273,0.03968127772845957,0.5167416291854073
lightgbm,kda-mla-fast,1,247,-0.007538450064326549,-0.026852469964764477,0.03042293342841106,0.6501749125437282
lstm,kda-mla-fast,1,247,-0.01631144898681126,-0.050862998740364124,0.037433955383181054,0.4542728635682159
mla-only,kda-mla-fast,1,247,-0.005782167541335179,-0.03199159148682159,0.03145989860357478,0.7566216891554223
mlp,kda-mla-fast,1,247,-0.01774516616736726,-0.0430960951662942,0.01813346019500621,0.2928535732133933
random-forest,kda-mla-fast,1,247,-0.0029322364073688777,-0.02902603452942406,0.045565022086242586,0.889055472263868
ridge,kda-mla-fast,1,247,-0.037748136103509716,-0.07450320971119176,0.002643620294446186,0.05847076461769116
transformer,kda-mla-fast,1,247,-0.008843608952152235,-0.03671295997959389,0.028626800456100557,0.5952023988005997
